"Manufacturer Part Number","Manufacturer","SymbolName","SymbolLibrary","FootprintName","FootprintLibrary","Package","Voltage Rating","Dielectric","Capacitance","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","ComponentLink1Description","ComponentLink1URL"
"GJM1555C1HR10WB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0G","0.1p","","","LCSC","C161338","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2410010330_Murata-Electronics-GJM1555C1HR10WB01D_C161338.pdf"
"0603CG0R1C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.1p","","","LCSC","C1322361","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CG0R1C500NT_C1322361.pdf"
"CQ0402BRNPO9BNR10","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","NP0","0.1p","","","LCSC","C1855094","Datasheet","https://datasheet.lcsc.com/lcsc/2201271230_YAGEO-CQ0402BRNPO9BNR10_C1855094.pdf"
"RF18N0R1B500CT","Walsin Tech Corp","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","NP0","0.1p","","","LCSC","C304680","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Walsin-Tech-Corp-RF18N0R1B500CT_C304680.pdf"
"GJM1555C1HR15RB12D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0G","0.15p","","","LCSC","C3884427","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2308111442_Murata-Electronics-GJM1555C1HR15RB12D_C3884427.pdf"
"GRM0335C1ER20WA01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","C0G","0.2p","","","LCSC","C3833435","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2308111458_Murata-Electronics-GRM0335C1ER20WA01D_C3833435.pdf"
"0201N0R2B250CT","Walsin Tech Corp","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","NP0","0.2p","","","LCSC","C880830","Datasheet","https://datasheet.lcsc.com/lcsc/2304140030_Walsin-Tech-Corp-0201N0R2B250CT_C880830.pdf"
"GRM0335C1HR20BA01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","50V","C0G","0.2p","","","LCSC","C161446","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811081547_Murata-Electronics-GRM0335C1HR20BA01D_C161446.pdf"
"GJM1555C1HR20BB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0G","0.2p","","","LCSC","C161339","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811081521_Murata-Electronics-GJM1555C1HR20BB01D_C161339.pdf"
"0603CG0R2C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.2p","","","LCSC","C79834","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CG0R2C500NT_C79834.pdf"
"0805CG0R2C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0805","footprints/capacitor.PcbLib","0805","50V","C0G","0.2p","","","LCSC","C1322376","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0805CG0R2C500NT_C1322376.pdf"
"CQ0402ARNPO9BNR20","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","NP0","0.2p","","","LCSC","C326067","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2409271603_YAGEO-CQ0402ARNPO9BNR20_C326067.pdf"
"GJM0335C2AR20WB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","100V","C0G","0.2p","","","LCSC","C3900296","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2308111805_Murata-Electronics-GJM0335C2AR20WB01D_C3900296.pdf"
"GQM1875C2ER20WB12D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","250V","C0G","0.2p","","","LCSC","C3860697","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2308111750_Murata-Electronics-GQM1875C2ER20WB12D_C3860697.pdf"
"0603CGR25C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.25p","","","LCSC","C313087","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CGR25C500NT_C313087.pdf"
