"Manufacturer Part Number","Manufacturer","SymbolName","SymbolLibrary","FootprintName","FootprintLibrary","Package","Z @ 100 MHz","DCR (mOhms)","Current Rating (mA)","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","ComponentLink1Description","ComponentLink1URL"
"CBG100505U102T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","1600","25","","","LCSC","C124090","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-CBG100505U102T_C124090.pdf"
"SCBG100505U801T","Yanchuang","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","800","1400","50","","","LCSC","C480839","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Yanchuang-SCBG100505U801T_C480839.pdf"
"HZ1005D102TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","1800","50","","","LCSC","C154127","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301511_Sunlord-HZ1005D102TF_C154127.pdf"
"FCM1005KF-102T00","TAI-TECH","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","1200","50","","","LCSC","C155041","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2009171306_TAI-TECH-FCM1005KF-102T00_C155041.pdf"
"HZ1005K152TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1500","2200","50","","","LCSC","C185874","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-HZ1005K152TF_C185874.pdf"
"SZ1005K182TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1800","1800","50","","","LCSC","C89917","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301641_Sunlord-SZ1005K182TF_C89917.pdf"
"MU1005-601Y","BOURNS","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","600","800","80","","","LCSC","C139469","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_BOURNS-MU1005-601Y_C139469.pdf"
"BLM15BA050SN1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","5","100","100","","","LCSC","C160969","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811081533_Murata-Electronics-BLM15BA050SN1D_C160969.pdf"
"MMZ1005F470CT000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","47","600","100","","","LCSC","C275419","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_TDK-MMZ1005F470CT000_C275419.pdf"
"MMZ1005F560CT000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","56","700","100","","","LCSC","C275421","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_TDK-MMZ1005F560CT000_C275421.pdf"
