"Manufacturer Part Number","Manufacturer","SymbolName","SymbolLibrary","FootprintName","FootprintLibrary","Package","Power Rating (mW)","Value","Tolerance","Temperature Coefficient","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","ComponentLink1Description","ComponentLink1URL"
"0402WGF0000TCE","UNI-ROYAL(Uniroyal Elec)","__template_resistor","symbols/resistor.SchLib","R0402","footprints/resistor.PcbLib","0402","62.5","0m","","","","","LCSC","C17168","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0402WGF0000TCE_C17168.pdf"
"0603WAF0000T5E","UNI-ROYAL(Uniroyal Elec)","__template_resistor","symbols/resistor.SchLib","R0603","footprints/resistor.PcbLib","0603","100","0m","","","","","LCSC","C21189","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF0000T5E_C21189.pdf"
"0805W8F0000T5E","UNI-ROYAL(Uniroyal Elec)","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","125","0m","","","","","LCSC","C17477","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F0000T5E_C17477.pdf"
"1206W4F0000T5E","UNI-ROYAL(Uniroyal Elec)","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","250","0m","","","","","LCSC","C17888","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-1206W4F0000T5E_C17888.pdf"
"PA2512FKM7T0U5E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","0.5m","1%","±75ppm/℃","","","LCSC","C3033267","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2206171715_YAGEO-PA2512FKM7T0U5E_C3033267.pdf"
"CRF0805-FZ-R001ELF","BOURNS","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","500","1m","1%","±50ppm/℃","","","LCSC","C6145236","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312080551_BOURNS-CRF0805-FZ-R001ELF_C6145236.pdf"
"PA1206FRM070R001L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","250","1m","1%","±75ppm/℃","","","LCSC","C4258679","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2404111532_YAGEO-PA1206FRM070R001L_C4258679.pdf"
"PA1206FRF7W0R001L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","500","1m","1%","±100ppm/℃","","","LCSC","C914836","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011301910_YAGEO-PA1206FRF7W0R001L_C914836.pdf"
"PA1206FRF470R001L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","1m","1%","±100ppm/℃","","","LCSC","C728283","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011301910_YAGEO-PA1206FRF470R001L_C728283.pdf"
"PA2512FKF070R001E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","1000","1m","1%","±100ppm/℃","","","LCSC","C875586","Datasheet","https://datasheet.lcsc.com/lcsc/2210201630_YAGEO-PA2512FKF070R001E_C875586.pdf"
"LR12FTDSR001","Viking Tech","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","1m","1%","±50ppm/℃","","","LCSC","C2913006","Datasheet","https://datasheet.lcsc.com/lcsc/2110281830_Viking-Tech-LR12FTDSR001_C2913006.pdf"
"CRE2512-FZ-R001E-3","BOURNS","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","1m","1%","±50ppm/℃","","","LCSC","C840615","Datasheet","https://datasheet.lcsc.com/lcsc/2211030130_BOURNS-CRE2512-FZ-R001E-3_C840615.pdf"
"CSS2H-2512R-1L00F","BOURNS","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","5000","1m","1%","±50ppm/℃","","","LCSC","C4175647","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2401221722_BOURNS-CSS2H-2512R-1L00F_C4175647.pdf"
"WFCP06032L000FE66","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R0603","footprints/resistor.PcbLib","0603","500","2m","1%","±100ppm/℃","","","LCSC","C4077045","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312130953_Vishay-Intertech-WFCP06032L000FE66_C4077045.pdf"
"WW08RR002FTL","Walsin Tech Corp","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","500","2m","1%","±70ppm/℃","","","LCSC","C2991348","Datasheet","https://datasheet.lcsc.com/lcsc/2204131800_Walsin-Tech-Corp-WW08RR002FTL_C2991348.pdf"
"LMJ12MF1P0R002","prosemi","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","2m","1%","±50ppm/℃","","","LCSC","C2937385","Datasheet","https://datasheet.lcsc.com/lcsc/2201131730_prosemi-LMJ12MF1P0R002_C2937385.pdf"
"PA2512FKE7W0R002E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","2m","1%","±50ppm/℃","","","LCSC","C728306","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2009261536_YAGEO-PA2512FKE7W0R002E_C728306.pdf"
"PA2512FKF7T0R002E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","2m","1%","±100ppm/℃","","","LCSC","C728320","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2010041434_YAGEO-PA2512FKF7T0R002E_C728320.pdf"
"PA0805FRE470R003L","YAGEO","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","500","3m","1%","±50ppm/℃","","","LCSC","C728266","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011301910_YAGEO-PA0805FRE470R003L_C728266.pdf"
"WW08DR003FTL","Walsin Tech Corp","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","750","3m","1%","±100ppm/℃","","","LCSC","C880880","Datasheet","https://datasheet.lcsc.com/lcsc/2202141730_Walsin-Tech-Corp-WW08DR003FTL_C880880.pdf"
"PA1206FRE470R003L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","3m","1%","±50ppm/℃","","","LCSC","C7324246","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312272158_YAGEO-PA1206FRE470R003L_C7324246.pdf"
"PA2512FKF070R003E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","1000","3m","1%","±100ppm/℃","","","LCSC","C875587","Datasheet","https://datasheet.lcsc.com/lcsc/2210201630_YAGEO-PA2512FKF070R003E_C875587.pdf"
"PA2512FKE7W0R003E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","3m","1%","±50ppm/℃","","","LCSC","C728307","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011270939_YAGEO-PA2512FKE7W0R003E_C728307.pdf"
"LR123WF300NT4E","UNI-ROYAL(Uniroyal Elec)","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","3m","1%","±50ppm/℃","","","LCSC","C2941089","Datasheet","https://datasheet.lcsc.com/lcsc/2204181745_UNI-ROYAL-Uniroyal-Elec-LR123WF300NT4E_C2941089.pdf"
"WSLF25123L000FEA","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","4000","3m","1%","±70ppm/℃","","","LCSC","C844702","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312131902_Vishay-Intertech-WSLF25123L000FEA_C844702.pdf"
"SMR12M1FR004T","SART(Nanjing Sart Tech)","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","4m","1%","±50ppm/℃","","","LCSC","C2692041","Datasheet","https://datasheet.lcsc.com/lcsc/2201121130_SART-Nanjing-Sart-Tech-SMR12M1FR004T_C2692041.pdf"
