"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Layer","Rotation"
"BT1","HOLDER_BATT_CR2032_HARWIN_S8421-45R","4574.803","4291.339","TopLayer","90"
"C1","C0603","13200.787","6122.047","TopLayer","270"
"C2","C0603","12972.441","6125.984","TopLayer","270"
"C3","C0402","12551.181","6909.449","TopLayer","180"
"C4","C0402","12637.795","6397.638","TopLayer","180"
"C5","C0402","12507.874","6562.992","TopLayer","180"
"C6","C0402","12507.874","6791.339","TopLayer","180"
"C7","C0402","13267.717","7027.559","TopLayer","90"
"C8","C0402","12866.142","7027.559","TopLayer","90"
"C9","C0402","13562.992","6456.693","TopLayer","0"
"C10","C0402","12637.795","6948.819","TopLayer","180"
"C11","C0402","12551.181","6870.079","TopLayer","180"
"C12","C0603","12669.291","7039.370","TopLayer","90"
"C13","C0805","12704.724","7129.921","TopLayer","180"
"C14","C0402","13059.055","7027.559","TopLayer","90"
"C15","C0402","13007.874","7149.606","TopLayer","90"
"C16","C0402","13090.551","7216.535","TopLayer","180"
"C17","C0402","13334.646","7208.661","TopLayer","180"
"C18","C0402","13244.094","7208.661","TopLayer","0"
"C19","C0402","14862.205","6401.575","TopLayer","0"
"C20","C0805","14704.724","6503.937","TopLayer","90"
"C21","C0805","14633.858","6503.937","TopLayer","90"
"C22","C1812","14858.268","6736.220","TopLayer","90"
"C23","C2220","14471.455","6691.928","TopLayer","90"
"C24","C0402","14992.126","6433.071","TopLayer","0"
"C25","C0402","15066.929","6393.701","TopLayer","0"
"C26","C0402","14543.307","6196.850","TopLayer","180"
"C27","C0805","14704.724","6114.173","TopLayer","0"
"C28","C1812","14551.181","5862.205","TopLayer","270"
"C29","C0402","14377.953","6255.906","TopLayer","180"
"C30","C0402","14862.205","6196.850","TopLayer","0"
"C31","C1812","14858.268","5862.205","TopLayer","270"
"C32","C0402","14452.756","6216.535","TopLayer","180"
"C33","C0402","15066.929","6157.480","TopLayer","0"
"C34","C0402","9208.662","5740.158","TopLayer","0"
"C35","C0402","9216.535","5622.047","TopLayer","270"
"C36","C0402","9216.535","5551.181","TopLayer","90"
"C37","C0402","8814.961","5354.331","TopLayer","0"
"C38","C0805","9185.039","5893.701","TopLayer","0"
"C39","C0603","9192.913","5830.709","TopLayer","0"
"C40","C0603","8673.228","5763.780","TopLayer","180"
"C41","C0805","8681.102","5830.709","TopLayer","180"
"C42","C2220","6141.736","5433.074","TopLayer","0"
"C43","C0402","12649.606","6255.906","TopLayer","270"
"C44","C2220","7401.578","5433.074","TopLayer","0"
"C45","C0402","12925.197","6125.984","TopLayer","270"
"C46","C2220","4881.893","5433.074","TopLayer","0"
"C58","C0805","8661.417","7321.614","TopLayer","0"
"C59","C0805","10582.677","7321.614","TopLayer","0"
"C60","CAP_1600X2700X750","8645.669","7803.150","TopLayer","180"
"C61","C0805","8661.417","6049.961","TopLayer","0"
"C62","C0805","10582.677","6049.961","TopLayer","0"
"C63","C0402","13232.283","7027.559","TopLayer","90"
"C64","C0402","13562.992","6811.024","TopLayer","0"
"C65","C0402","13157.480","6125.984","TopLayer","270"
"C66","C0402","13448.819","6574.803","TopLayer","0"
"C67","C0402","13448.819","6299.213","TopLayer","0"
"C68","C0402","13448.819","7007.874","TopLayer","0"
"C69","C0402","13259.843","6125.984","TopLayer","270"
"C70","C0402","11472.441","4551.181","TopLayer","270"
"C77","C0402","14464.567","5559.055","TopLayer","90"
"C78","C0402","14271.654","5161.417","TopLayer","180"
"C79","C0402","14141.732","5125.984","TopLayer","180"
"C80","C1206","7582.677","3814.961","TopLayer","270"
"C88","C1206","14421.260","4759.842","TopLayer","270"
"C89","C1206","14342.520","4759.842","TopLayer","270"
"C90","C1210","14283.464","4413.386","TopLayer","270"
"C91","C0402","14374.016","5137.795","TopLayer","270"
"C92","C0603","14125.984","5173.228","TopLayer","180"
"C93","C0805","14047.244","5488.189","TopLayer","180"
"C94","C0402","14515.748","5480.315","TopLayer","0"
"C95","C0402","14161.417","5456.693","TopLayer","180"
"C96","C0402","13834.646","8468.504","TopLayer","270"
"C98","C0402","8456.693","4153.543","TopLayer","0"
"C99","C2220","8318.894","7354.328","TopLayer","180"
"C100","C0402","7744.095","3736.220","TopLayer","180"
"C104","C0402","11397.638","5625.984","TopLayer","180"
"C105","C0402","11996.063","5110.236","TopLayer","270"
"C106","C0402","11397.638","5437.008","TopLayer","180"
"C107","C0402","12299.213","5433.071","TopLayer","0"
"C108","C0402","11551.181","5110.236","TopLayer","270"
"C109","C0402","12027.559","6000.000","TopLayer","90"
"C110","C0402","11728.346","5110.236","TopLayer","270"
"C111","C0805","12444.882","5173.229","TopLayer","0"
"C112","C0402","11830.709","6000.000","TopLayer","90"
"C113","C0402","11358.268","5586.614","TopLayer","180"
"C114","C0402","11673.228","6000.000","TopLayer","90"
"C115","C0402","11358.268","5397.638","TopLayer","180"
"C116","C0402","11503.937","6000.000","TopLayer","90"
"C117","C0402","11767.717","5110.236","TopLayer","270"
"C118","C0402","11877.953","5110.236","TopLayer","270"
"C119","C0402","11397.638","5732.284","TopLayer","180"
"C120","C0402","12299.213","5370.079","TopLayer","0"
"C121","C0402","11358.268","5531.496","TopLayer","180"
"C122","C0402","12299.213","5712.599","TopLayer","0"
"C123","C0402","11397.638","5476.378","TopLayer","180"
"C124","C0402","11984.252","6000.000","TopLayer","90"
"C125","C0402","11397.638","5307.087","TopLayer","180"
"C126","C0402","11866.142","6000.000","TopLayer","90"
"C127","C0805","12444.882","5984.252","TopLayer","0"
"C128","C0402","11610.236","5110.236","TopLayer","270"
"C129","C0402","11688.976","5110.236","TopLayer","270"
"C130","C0402","11791.339","6000.000","TopLayer","90"
"C131","C0402","11712.598","6000.000","TopLayer","90"
"C132","C0402","11633.858","6000.000","TopLayer","90"
"C133","C0402","11456.693","4889.764","TopLayer","180"
"C134","C0402","8787.401","3866.142","TopLayer","270"
"C135","C0402","11547.244","6102.362","TopLayer","90"
"C136","C0402","11681.102","6102.362","TopLayer","90"
"C137","C0402","12381.890","5877.953","TopLayer","0"
"C138","C0402","5645.670","3988.189","TopLayer","0"
"C139","C0402","5535.434","4078.740","TopLayer","180"
"C140","C0402","5507.875","4279.527","TopLayer","180"
"C141","C0402","6141.733","3972.441","TopLayer","0"
"C142","C0402","5641.733","4287.401","TopLayer","180"
"C143","C0402","5866.143","4381.890","TopLayer","0"
"C144","C0402","6133.859","4318.898","TopLayer","90"
"C145","C0603","5629.922","4031.496","TopLayer","180"
"C146","C0805","5555.119","3905.512","TopLayer","270"
"C147","C0402","5641.733","4122.047","TopLayer","180"
"C158","C0402","9980.315","5244.095","TopLayer","0"
"C159","C0402","9586.614","5240.158","TopLayer","180"
"C160","C0603","9059.055","5271.654","TopLayer","90"
"C161","C0402","8814.961","5314.961","TopLayer","180"
"C162","C0805","8787.402","5251.968","TopLayer","180"
"C163","C0805","9141.732","5322.835","TopLayer","180"
"C164","C0402","7775.591","3669.291","TopLayer","270"
"C165","C0402","8456.693","3929.134","TopLayer","0"
"C166","C0402","8822.835","3866.142","TopLayer","270"
"C167","C0402","12637.795","6751.968","TopLayer","180"
"C168","C0603","12192.913","6775.591","TopLayer","0"
"C169","C0402","12181.103","7003.937","TopLayer","0"
"C170","C0603","6645.669","4118.110","TopLayer","180"
"C171","C0402","14429.134","7307.087","TopLayer","180"
"C172","C0402","14307.087","7704.724","TopLayer","90"
"C173","C0402","14338.583","7307.087","TopLayer","0"
"C174","C0402","14370.079","7704.724","TopLayer","90"
"C175","C0805","14535.433","8023.622","TopLayer","90"
"C176","C0805","14464.567","8023.622","TopLayer","90"
"C177","C0805","14677.165","8216.535","TopLayer","270"
"C178","C0402","14566.929","7704.724","TopLayer","270"
"C179","C0402","14433.071","7704.724","TopLayer","270"
"C189","C0805","7350.394","4271.654","TopLayer","0"
"C190","C0402","6645.669","4192.913","TopLayer","180"
"C191","C0402","7086.614","4035.433","TopLayer","0"
"C192","C0402","7086.614","4275.591","TopLayer","0"
"C193","C0402","6645.669","4039.370","TopLayer","180"
"C194","C0402","6787.402","3897.638","TopLayer","270"
"C195","C0402","7196.850","4173.228","TopLayer","90"
"C196","C0402","7464.567","4204.724","TopLayer","90"
"C200","C0603","13996.063","7027.559","TopLayer","90"
"C201","C0402","14000.000","7114.173","TopLayer","270"
"C202","C0805","13799.212","6988.189","TopLayer","270"
"C47A","C0402","13641.732","4846.457","TopLayer","90"
"C48A","C0402","13637.795","4444.882","TopLayer","270"
"C49A","C0402","13716.535","4444.882","TopLayer","270"
"C50A","C0402","13208.661","4846.457","TopLayer","90"
"C51A","C0402","13212.598","4444.882","TopLayer","270"
"C52A","C0402","8295.276","5826.772","TopLayer","270"
"C54A","C0402","8350.394","5850.394","TopLayer","0"
"C57A","C0402","8350.394","5803.150","TopLayer","180"
"C81A","C0805","7031.496","7637.795","TopLayer","0"
"C82A","C0402","7125.984","7862.205","TopLayer","90"
"C83A","C0805","7330.708","7637.795","TopLayer","180"
"C84A","C0402","7236.220","7862.205","TopLayer","270"
"C85A","C0603","7118.110","7496.063","TopLayer","270"
"C86A","C0402","7279.527","7429.134","TopLayer","270"
"C87A","C0402","7346.457","7503.937","TopLayer","270"
"C101A","C0402","10385.827","5283.465","TopLayer","0"
"C102A","C0402","10295.276","4909.449","TopLayer","270"
"C103A","C0402","10314.961","4551.181","TopLayer","180"
"C148A","C0402","9476.378","4531.496","TopLayer","270"
"C149A","C0402","9417.323","4539.370","TopLayer","0"
"C150A","C0402","9255.906","4295.276","TopLayer","270"
"C151A","C0402","9216.535","4295.276","TopLayer","270"
"C152A","C0402","8937.008","4578.740","TopLayer","180"
"C153A","C0402","9000.000","4692.913","TopLayer","90"
"C154A","C0402","9177.165","4295.276","TopLayer","270"
"C155A","C0402","9137.795","4295.276","TopLayer","270"
"C156A","C0402","9098.425","4295.276","TopLayer","270"
"C157A","C0402","9059.055","4295.276","TopLayer","270"
"C188A","C0402","10629.921","4338.583","TopLayer","270"
"C197A","C0805","8291.339","4320.866","TopLayer","90"
"C198A","C0805","7988.189","4283.465","TopLayer","180"
"C199A","C0402","8011.811","4358.268","TopLayer","180"
"C47B","C0402","9996.063","4846.457","TopLayer","90"
"C48B","C0402","9992.126","4444.882","TopLayer","270"
"C49B","C0402","10015.748","4311.024","TopLayer","0"
"C50B","C0402","9562.992","4846.457","TopLayer","90"
"C51B","C0402","9566.929","4444.882","TopLayer","270"
"C52B","C0402","8295.276","5728.346","TopLayer","90"
"C54B","C0402","8350.394","5704.724","TopLayer","0"
"C57B","C0402","8350.394","5751.968","TopLayer","180"
"C81B","C0805","4393.701","7598.425","TopLayer","0"
"C82B","C0402","4488.189","7822.835","TopLayer","90"
"C83B","C0805","4692.913","7598.425","TopLayer","180"
"C84B","C0402","4598.425","7822.835","TopLayer","270"
"C85B","C0603","4480.315","7456.693","TopLayer","270"
"C86B","C0402","4641.732","7389.764","TopLayer","270"
"C87B","C0402","4708.661","7464.567","TopLayer","270"
"C101B","C0402","14716.535","5322.835","TopLayer","0"
"C102B","C0402","14625.984","4948.819","TopLayer","270"
"C103B","C0402","14645.669","4590.551","TopLayer","180"
"C148B","C0402","10216.535","4531.496","TopLayer","270"
"C149B","C0402","10157.480","4539.370","TopLayer","0"
"C150B","C0402","12720.472","4492.126","TopLayer","270"
"C151B","C0402","12681.102","4492.126","TopLayer","270"
"C152B","C0402","12401.575","4775.591","TopLayer","180"
"C153B","C0402","12464.567","4889.764","TopLayer","90"
"C154B","C0402","12641.732","4492.126","TopLayer","270"
"C155B","C0402","12602.362","4492.126","TopLayer","270"
"C156B","C0402","12562.992","4492.126","TopLayer","270"
"C157B","C0402","12523.622","4492.126","TopLayer","270"
"C188B","C0402","10807.087","4338.583","TopLayer","270"
"C197B","C0805","5336.614","4393.701","TopLayer","180"
"C198B","C0805","5374.016","4090.551","TopLayer","270"
"C199B","C0402","5299.213","4114.173","TopLayer","270"
"C47C","C0402","11397.638","4846.457","TopLayer","90"
"C48C","C0402","11393.701","4444.882","TopLayer","270"
"C49C","C0402","11181.102","4385.827","TopLayer","270"
"C50C","C0402","10964.567","4846.457","TopLayer","90"
"C51C","C0402","10968.504","4444.882","TopLayer","270"
"C52C","C0402","8295.276","5629.921","TopLayer","270"
"C54C","C0402","8350.394","5653.543","TopLayer","0"
"C57C","C0402","8350.394","5606.299","TopLayer","180"
"C81C","C0805","4944.882","7598.425","TopLayer","0"
"C82C","C0402","5039.370","7822.835","TopLayer","90"
"C83C","C0805","5244.095","7598.425","TopLayer","180"
"C84C","C0402","5149.606","7822.835","TopLayer","270"
"C85C","C0603","5031.496","7456.693","TopLayer","270"
"C86C","C0402","5192.913","7389.764","TopLayer","270"
"C87C","C0402","5259.842","7464.567","TopLayer","270"
"C150C","C0402","14098.425","4492.126","TopLayer","270"
"C151C","C0402","14059.055","4492.126","TopLayer","270"
"C152C","C0402","13779.528","4775.591","TopLayer","180"
"C153C","C0402","13842.520","4889.764","TopLayer","90"
