"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Layer","Rotation"
"C1","C0603","9066.929","3940.945","TopLayer","270"
"C2","C0603","9244.094","3968.504","TopLayer","270"
"C3","C0603","9011.811","3881.890","TopLayer","270"
"C4","C0603","9188.976","3909.449","TopLayer","270"
"C5","C0603","9066.929","3822.835","TopLayer","270"
"C6","C0603","9244.094","3850.394","TopLayer","270"
"C7","C0603","9011.811","3763.780","TopLayer","270"
"C8","C0603","9188.976","3791.338","TopLayer","270"
"C9","C0603","9066.929","3704.724","TopLayer","270"
"C10","C0603","9244.094","3732.283","TopLayer","270"
"C11","C0603","9011.811","3645.669","TopLayer","270"
"C12","C0603","9188.976","3673.228","TopLayer","270"
"C13","C0603","9068.898","3586.614","TopLayer","270"
"C14","C0603","9244.094","3614.173","TopLayer","270"
"C15","C0603","10641.732","3625.984","TopLayer","90"
"C16","C0603","10464.567","3625.984","TopLayer","90"
"C17","C0603","10586.614","3685.039","TopLayer","90"
"C18","C0603","9712.598","4043.307","TopLayer","90"
"C19","C0603","10409.449","3685.039","TopLayer","90"
"C20","C0603","10641.732","3744.094","TopLayer","90"
"C21","C0603","10464.567","3744.095","TopLayer","90"
"C22","C0603","10586.614","3803.149","TopLayer","90"
"C23","C0603","10409.449","3803.150","TopLayer","90"
"C24","C0603","10641.732","3862.205","TopLayer","90"
"C25","C0603","10464.567","3862.205","TopLayer","90"
"C26","C0603","10586.614","3921.260","TopLayer","90"
"C27","C0603","10409.449","3921.260","TopLayer","90"
"C28","C0603","10641.732","3980.315","TopLayer","90"
"C29","C0603","9188.976","4027.559","TopLayer","90"
"C30","C0603","10464.567","3984.252","TopLayer","90"
"C31","C1206","9055.118","4330.709","TopLayer","270"
"C32","C0402","9244.094","4086.614","TopLayer","90"
"C33","C0603","10586.614","4039.370","TopLayer","90"
"C34","C0402","9842.520","4169.291","TopLayer","90"
"C35","C0603","10409.449","4043.307","TopLayer","90"
"C36","C0603","10137.795","4165.354","TopLayer","90"
"C37","C0603","10641.732","4098.425","TopLayer","90"
"C38","C0603","10468.504","4102.362","TopLayer","90"
"C39","C0603","9775.591","4043.307","TopLayer","90"
"C40","C0603","10082.677","4165.354","TopLayer","90"
"C41","C0402","9952.756","4169.291","TopLayer","90"
"C42","C0603","10200.787","4165.354","TopLayer","90"
"C43","C0805","9897.638","4165.354","TopLayer","90"
"C44","C0603","10283.465","4106.299","TopLayer","90"
"C45A","C0805","18346.457","3779.528","BottomLayer","0"
"C46A","C0805","18346.457","3858.268","BottomLayer","0"
"C47A","C0805","18527.559","3641.732","BottomLayer","180"
"C48A","C0402","17952.756","3779.528","BottomLayer","270"
"C49A","C0402","17952.756","3858.268","BottomLayer","90"
"C45B","C0805","5078.740","3858.268","BottomLayer","180"
"C46B","C0805","5078.740","3779.528","BottomLayer","180"
"C47B","C0805","4897.638","3641.732","BottomLayer","0"
"C48B","C0402","5492.126","3858.268","BottomLayer","90"
"C49B","C0402","5492.126","3779.528","BottomLayer","270"
"D1","LED_0603P_RED","4921.260","3080.709","TopLayer","0"
"D2","LED_0603P_RED","5826.772","3080.709","TopLayer","0"
"D3","LED_0603P_RED","6732.283","3080.709","TopLayer","0"
"D4","LED_0603P_RED","7637.795","3080.709","TopLayer","0"
"D5","LED_0603P_RED","8543.307","3080.709","TopLayer","0"
"D6","LED_0603P_RED","9448.819","3080.709","TopLayer","0"
"D7","LED_0603P_RED","10354.331","3080.709","TopLayer","0"
"D8","LED_0603P_RED","11259.842","3080.709","TopLayer","0"
"D9","LED_0603P_RED","12165.354","3080.709","TopLayer","0"
"D10","LED_0603P_RED","13070.866","3080.709","TopLayer","0"
"D11","LED_0603P_RED","13976.378","3080.709","TopLayer","0"
"D12","LED_0603P_RED","14881.890","3080.709","TopLayer","0"
"D13","LED_0603P_RED","15787.401","3080.709","TopLayer","0"
"D14","LED_0603P_RED","16692.913","3080.709","TopLayer","0"
"D15","LED_0603P_RED","17598.425","3080.709","TopLayer","0"
"D16","LED_0603P_RED","18503.937","3080.709","TopLayer","0"
"D17A","3SOT23","18208.661","3818.898","BottomLayer","180"
"D17B","3SOT23","5236.221","3818.898","BottomLayer","0"
"F1","JDTFUSE_JFC2410","4566.929","4448.819","BottomLayer","270"
"F2","JDTFUSE_JFC2410","4724.409","4448.819","BottomLayer","270"
"F3","JDTFUSE_JFC2410","4724.409","3188.976","BottomLayer","90"
"F4","JDTFUSE_JFC2410","5748.031","4448.819","BottomLayer","270"
"F5","JDTFUSE_JFC2410","6535.433","3188.976","BottomLayer","90"
"F6","JDTFUSE_JFC2410","7125.984","4448.819","BottomLayer","270"
"F7","JDTFUSE_JFC2410","8346.457","3188.976","BottomLayer","90"
"F8","JDTFUSE_JFC2410","8937.008","4448.819","BottomLayer","270"
"F9","JDTFUSE_JFC2410","10157.480","3188.976","BottomLayer","90"
"F10","JDTFUSE_JFC2410","10748.031","4448.819","BottomLayer","270"
"F11","JDTFUSE_JFC2410","11968.504","3188.976","BottomLayer","90"
"F12","JDTFUSE_JFC2410","12559.055","4448.819","BottomLayer","270"
"F13","JDTFUSE_JFC2410","13779.528","3188.976","BottomLayer","90"
"F14","JDTFUSE_JFC2410","14370.079","4448.819","BottomLayer","270"
"F15","JDTFUSE_JFC2410","15590.551","3188.976","BottomLayer","90"
"F16","JDTFUSE_JFC2410","16181.102","4448.819","BottomLayer","270"
"F17","JDTFUSE_JFC2410","17401.575","3188.976","BottomLayer","90"
"F18","JDTFUSE_JFC2410","18622.047","4448.819","BottomLayer","270"
"F19","JDTFUSE_JFC2410","18779.528","4448.819","BottomLayer","270"
"J1","WURTH_WR-FPC_1.00mm_686104148922","4921.260","4363.189","TopLayer","180"
"J2","WURTH_WR-FPC_1.00mm_686104148922","6732.284","4363.189","TopLayer","180"
"J3","WURTH_WR-FPC_1.00mm_686104148922","8543.308","4363.189","TopLayer","180"
"J4","WURTH_WR-FPC_1.00mm_686104148922","10354.330","4363.189","TopLayer","180"
"J5","WURTH_WR-FPC_1.00mm_686104148922","12165.354","4363.189","TopLayer","180"
"J6","WURTH_WR-FPC_1.00mm_686104148922","13976.378","4363.189","TopLayer","180"
"J7","WURTH_WR-FPC_1.00mm_686104148922","15787.402","4363.189","TopLayer","180"
"J8","WURTH_WR-FPC_1.00mm_686104148922","17598.426","4363.189","TopLayer","180"
"J9A","MOLEX_MICROFIT_0436500404","18747.835","3818.898","BottomLayer","270"
"J9B","MOLEX_MICROFIT_0436500404","4677.362","3818.898","BottomLayer","90"
"Q1","4SOT223","9267.717","4401.575","TopLayer","0"
"R1","R0402","8905.512","3970.472","TopLayer","0"
"R2","R0402","5019.685","3080.709","TopLayer","180"
"R3","R2512","5157.480","4409.449","BottomLayer","90"
"R4","R2512","5551.181","4409.449","BottomLayer","270"
"R5","R0402","8905.512","3911.417","TopLayer","0"
"R6","R0402","5925.197","3080.709","TopLayer","180"
"R7","R2512","5984.252","3267.716","BottomLayer","270"
"R8","R2512","5393.701","3267.716","BottomLayer","90"
"R9","R0402","8905.512","3852.362","TopLayer","0"
"R10","R0402","6830.709","3080.709","TopLayer","180"
"R11","R2512","6771.654","4409.449","BottomLayer","90"
"R12","R2512","6220.472","4409.449","BottomLayer","270"
"R13","R0402","8905.512","3793.307","TopLayer","0"
