"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Layer","Rotation"
"C1","C0603","18311.024","3744.095","TopLayer","270"
"C2","C0603","18496.063","4425.197","TopLayer","90"
"C3","C0402","19783.464","5299.213","TopLayer","270"
"C4","C0402","19118.110","3929.134","TopLayer","270"
"C5","C0402","18921.260","4405.512","TopLayer","0"
"C6","C0402","18393.701","3712.598","TopLayer","180"
"C7","C0402","19118.110","3850.394","TopLayer","90"
"C8","C0402","19118.110","4114.173","TopLayer","90"
"C9","C0402","18448.819","4425.197","TopLayer","90"
"C10","C0402","19011.811","3685.039","TopLayer","270"
"C11","C0402","19547.244","5299.213","TopLayer","270"
"C12","C0603","19149.606","4173.228","TopLayer","0"
"C13","C0805","19220.472","4275.591","TopLayer","0"
"C14","C0402","19208.661","4066.929","TopLayer","0"
"C15","C0402","19208.661","4000.000","TopLayer","0"
"C16","C0402","19275.591","3921.260","TopLayer","90"
"C19","C0402","19208.661","3074.803","TopLayer","0"
"C20","C0805","19051.181","3177.165","TopLayer","90"
"C21","C1206","18968.504","3200.787","TopLayer","90"
"C22","C1812","19204.724","3401.574","TopLayer","90"
"C23","C2220","18448.816","2401.572","TopLayer","180"
"C24","C0402","19338.583","3106.299","TopLayer","0"
"C25","C0402","19413.386","3066.929","TopLayer","0"
"C26","C0402","18889.764","2870.078","TopLayer","180"
"C27","C0805","19051.181","2787.401","TopLayer","0"
"C28","C1812","18897.638","2543.307","TopLayer","270"
"C29","C0402","18724.409","2929.134","TopLayer","180"
"C30","C0402","19208.661","2870.078","TopLayer","0"
"C31","C1812","19204.724","2543.307","TopLayer","270"
"C32","C0402","18799.213","2889.764","TopLayer","180"
"C33","C0402","19413.386","2830.708","TopLayer","0"
"C36","C0402","19330.709","5110.236","TopLayer","180"
"C44","C0402","19645.669","2728.347","TopLayer","90"
"C45","C0402","19507.874","2720.472","TopLayer","90"
"C46","C0402","18944.882","5165.354","TopLayer","90"
"C47","C0603","18755.906","5165.354","TopLayer","270"
"C48","C0805","18755.906","5283.465","TopLayer","90"
"C49","C0402","18708.661","5007.874","TopLayer","180"
"C50","C0402","18803.150","5165.354","TopLayer","90"
"C51","C0402","18897.638","4822.835","TopLayer","270"
"C52","C0402","18917.323","5318.898","TopLayer","90"
"C53","C0402","18850.394","5377.953","TopLayer","0"
"C56","C0402","19023.622","4874.016","TopLayer","270"
"C34A","C0402","19889.764","3720.472","TopLayer","180"
"C35A","C0402","19889.764","3547.244","TopLayer","180"
"C37A","TANT_3.5MMX2.8MMX1.9MM","16075.780","3451.410","TopLayer","0"
"C38A","C0603","16182.079","3990.780","TopLayer","0"
"C39A","TANT_3.5MMX2.8MMX1.9MM","16075.780","3585.268","TopLayer","0"
"C40A","C1206","16075.780","3337.236","TopLayer","0"
"C41A","C0603","16130.898","4085.268","TopLayer","90"
"C42A","C0402","16858.268","3523.622","TopLayer","180"
"C43A","C0603","16870.079","3641.733","TopLayer","270"
"C54A","C0402","15760.819","4167.945","TopLayer","180"
"C55A","C0603","15918.299","4262.433","TopLayer","270"
"C80A","C1206","20051.181","3811.024","TopLayer","0"
"C34B","C0402","19889.764","2933.071","TopLayer","180"
"C35B","C0402","19889.764","2759.843","TopLayer","180"
"C37B","TANT_3.5MMX2.8MMX1.9MM","15445.858","3451.410","TopLayer","0"
"C38B","C0603","15552.158","3990.780","TopLayer","0"
"C39B","TANT_3.5MMX2.8MMX1.9MM","15445.858","3585.268","TopLayer","0"
"C40B","C1206","15445.858","3337.236","TopLayer","0"
"C41B","C0603","15500.977","4085.268","TopLayer","90"
"C42B","C0402","16858.268","3799.213","TopLayer","180"
"C43B","C0603","16870.079","3917.323","TopLayer","270"
"C54B","C0402","15130.898","4167.945","TopLayer","180"
"C55B","C0603","15288.378","4262.433","TopLayer","270"
"C80B","C1206","20051.181","3023.622","TopLayer","0"
"C37C","TANT_3.5MMX2.8MMX1.9MM","14815.937","3451.410","TopLayer","0"
"C38C","C0603","14922.236","3990.780","TopLayer","0"
"C39C","TANT_3.5MMX2.8MMX1.9MM","14815.937","3585.268","TopLayer","0"
"C40C","C1206","14815.937","3337.236","TopLayer","0"
"C41C","C0603","14871.055","4085.268","TopLayer","90"
"C42C","C0402","16858.268","4074.803","TopLayer","180"
"C43C","C0603","16870.079","4192.914","TopLayer","270"
"C54C","C0402","14500.976","4167.945","TopLayer","180"
"C55C","C0603","14658.457","4262.433","TopLayer","270"
"C37D","TANT_3.5MMX2.8MMX1.9MM","14186.016","3451.410","TopLayer","0"
"C38D","C0603","14292.315","3990.780","TopLayer","0"
"C39D","TANT_3.5MMX2.8MMX1.9MM","14186.016","3585.268","TopLayer","0"
"C40D","C1206","14186.016","3337.236","TopLayer","0"
